,name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,element_type,start_price,end_price
161,Myles Peart-Harris,0,0,3,11,0,10.9,2.2,2.0,0,6,1.5,0,0,0,0.0,MID,4.5,4.5
162,Vincent Angelini,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
163,Hákon Valdimarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
164,Benjamin Fredrick,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
165,Benjamin Arthur,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
166,Yunus Konak,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
167,Simon Adingra,6,1,97,2220,38,507.8,477.6,751.0,8,330,173.4,4,0,3,0.6,MID,5.0,5.0
168,Steven Alzate,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.4
169,Yasin Ayari,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
170,Facundo Buonanotte,3,1,57,1356,19,291.3,254.8,238.0,1,160,78.4,6,0,7,0.1,MID,5.0,4.7
171,Aaron Connolly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,4.5,4.5
172,Mahmoud Dahoud,0,1,14,449,6,127.2,70.4,24.0,0,68,21.7,1,1,1,0.1,MID,5.0,4.8
173,Lewis Dunk,3,1,89,2869,53,205.4,823.0,389.0,11,567,141.7,5,1,6,5.3,DEF,5.0,5.2
174,Julio Enciso,0,2,20,468,12,131.7,81.0,157.0,0,62,36.9,0,0,2,0.4,MID,5.5,5.0
175,Pervis Estupiñán,2,3,57,1242,26,382.6,350.8,156.0,7,291,89.0,3,0,4,14.5,DEF,5.0,4.7
176,Evan Ferguson,6,1,69,1356,28,106.7,275.0,393.0,5,218,77.3,2,0,1,3.5,FWD,6.0,5.7
177,Billy Gilmour,0,3,61,2116,37,481.5,291.4,104.0,4,354,87.7,6,1,8,0.2,MID,5.0,4.8
178,Pascal Groß,4,11,153,3112,50,1674.9,988.6,434.0,29,724,309.9,7,0,6,4.1,MID,6.5,6.1
179,João Pedro Junqueira de Jesus,9,3,104,2037,38,578.8,622.4,932.0,12,406,213.4,5,0,2,6.1,FWD,5.5,5.2
180,Michał Karbownik,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
181,Kacper Kozłowski,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
182,Adam Lallana,0,1,30,839,13,248.7,83.0,130.0,0,95,45.8,2,0,2,0.0,MID,5.0,4.9
183,Tariq Lamptey,0,3,31,908,20,173.7,144.6,60.0,0,155,37.6,1,0,3,3.6,DEF,4.0,3.9
184,Solly March,3,1,39,555,11,126.5,197.4,139.0,6,134,46.4,2,0,1,2.0,MID,6.5,6.1
185,Tom McGill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,GK,4.0,3.9
186,James Milner,0,2,28,770,12,253.5,152.8,61.0,0,146,46.8,4,0,3,0.1,MID,5.0,4.8
187,Kaoru Mitoma,3,7,74,1485,27,375.1,327.6,636.0,7,252,134.0,1,0,4,11.8,MID,6.5,6.4
188,Jakub Moder,0,0,21,608,13,82.3,87.2,84.0,0,89,25.4,1,0,2,0.1,MID,4.5,4.4
189,Jeremy Sarmiento Morante,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
190,Kjell Scherpen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
191,Jason Steele,0,0,42,1530,34,0.1,382.2,0.0,5,300,38.2,2,0,0,1.7,GK,4.5,4.0
192,Deniz Undav,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,5.5,5.5
193,Jan Paul van Hecke,0,0,61,2368,38,176.4,631.8,175.0,3,454,98.5,5,0,4,2.1,DEF,4.0,4.0
194,Joël Veltman,1,1,49,1579,32,97.8,320.8,98.0,0,294,51.8,3,0,4,0.6,DEF,4.5,4.3
195,Bart Verbruggen,0,0,68,1890,28,1.0,541.4,0.0,7,417,54.3,4,0,3,1.2,GK,4.5,4.4
196,Adam Webster,0,0,26,1142,22,89.3,252.2,54.0,2,212,39.7,2,0,2,0.3,DEF,4.5,4.2
197,Danny Welbeck,5,4,79,1687,28,320.9,326.2,492.0,5,261,114.0,8,0,4,1.0,FWD,6.0,5.7
198,Andi Zeqiri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,FWD,4.5,4.4
199,Igor Julio dos Santos de Paulo,0,0,37,1631,26,135.5,297.8,23.0,1,311,45.8,2,0,4,0.2,DEF,4.5,4.3
200,Jack Hinshelwood,3,0,42,866,17,118.9,200.2,230.0,5,155,55.0,2,0,1,0.0,MID,4.5,4.5
201,Carlos Baleba,0,0,34,1314,28,134.7,179.8,72.0,0,174,38.8,2,0,7,0.0,MID,4.5,4.5
202,Anssumane Fati Vieira,2,1,33,509,12,92.1,121.4,292.0,1,84,50.5,1,0,2,0.4,MID,6.5,6.4
203,Mark O’Mahony,0,0,2,61,1,1.6,6.0,6.0,0,5,1.3,0,0,1,0.0,FWD,4.5,4.5
204,Benicio Baker-Boaitey,0,0,4,37,1,12.6,4.6,4.0,0,10,1.9,0,0,1,0.0,MID,4.5,4.5
205,Ben Jackson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
